242,22 08.3,-46 58,, 1.7,STAR B7 IV,Alpha Gru, 8 ST,AI Nair,
243,22 18.6,-60 16,, 2.9,STAR K3 III,Alpha Tue, 8 ST,,
244,22 42.7,-46 52,, 2.1,STAR M5 III,Beta Gru, 8 ST,,
245,22 43.1,+30 14,, 2.9,STAR 68 II + F0 V,Eta Peg, 8 ST,Mater,
246,22 53.6,-15 50,, 3.3,STAR A3 IV,Delta Aqr, 8 ST,Skat,
247,22 57.7,-29 38,, 1.2,STAR A3 V,Alpha PsA, 8 ST,Fomalhaut,
248,23 03.8,+28 05,, 2.4,STAR M2 II-III,Beta Peg, 8 ST,Scheat,
249,23 04.8,+15 12,, 2.5,STAR B9.5 V,Alpha Peg, 8 ST,Markab,
250,23 39.4,+77 38,, 3.2,STAR K1 III-IV,Gamma Cap, 8 ST,Alrai,
251,00 06.1,+58 26,15 , 6.4,STAR 64:72 @308,ADS 61, 9 ST,,1980=1.4 @287 107y
252,00 40.0,+21 27,66 , 5.5,STAR 5.5:8.7 @194,ADS 558, 9 ST,,1964 Yellow:Blue
253,00 42.4,+04 11,15 , 7.8,STAR 7.8:9.4 @207,ADS 588, 9 ST,,1980=1.5 @ 200
254,00 49.9,+27 42,44 , 6.3,STAR 6.3:6.3 @296,ADS 683, 9 ST,,1959 p(Yellow:Blue)
255,00 54.6,+19 11,5 , 6.2,STAR 6.2:6.9 @211,ADS 746, 9 ST,,1980=0.5 @ 224 400y
256,00 55.0,+23 38,8 , 6.0,STAR 6.0:6.4 @292,ADS 755, 9 ST,,1980=0.6 @ 259
257,01 05.7,+21 28,299 , 5.6,STAR 5.6:5.8 @159,ADS 899, 9 ST,,1964 Yellow:pBIue
258,01 09.5,+47 15,5 , 4.6,STAR 4.6:5.5 @133,ADS 940, 9 ST,,1980=0.5 @ 140
259,01 13.7,+07 35,230 , 5.6,STAR 5.6:6.6 @063,ADS 996, 9 ST,,1972 Yellow:pBIue
260,01 39.8,-56 12,113 , 5.8,STAR 5.8:5.8 @193,p Eri ,9ST ,,1980=11.1 @195
261,02 35.5,+89 35,178 , 2.0,STAR 20:89 @216,ADS 1477, 9 ST,Polaris North Star,
262,01 53.6,+19 18,78 , 4.6,STAR 4.6:4.7 @000,ADS 1507, 9 ST,,1969 1831=8.6
263,01 55.9,+01 51,10 , 6.8,STAR 68:68 @057,ADS 1538, 9 ST,,1980=1.2 @053
264,01 57.9,+23 36,385 , 4.7,STAR 4.7:7.7 @047,ADS 1568, 9 ST,,1973 Yellow:Blue
265,02 02.0,+02 46,16 , 4.2,STAR 42:52 @273,ADS 1615, 9 ST,,pBlue:pGreen
266,02 03.9,+42 20,98 , 2.2,STAR 2.2:5.1 @063,ADS 1630, 9 ST,,1967 0range:Emerald
267,02 12.4,+30 18,39 , 5.3,STAR 5.3:6.9 @071,ADS 1697, 9 ST,,1959 Yellow:Blue
268,02 14.0,+47 29,11 , 6.6,STAR 6.6:7.1 @274,ADS 1709, 9 ST,,1980=1.1 @266
